system:index,B1,B2,B3,B4,B5,B6,B7,landuse,.geo
2969_0,0.13544449,0.11570539,0.10982535,0.08607708,0.37947372,0.2417397,0.13084745,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2970_0,0.14150481,0.12410538,0.11821894,0.11727004,0.3445977,0.29856414,0.18832663,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2971_0,0.1394858,0.122370176,0.12546758,0.13068356,0.28833884,0.26711673,0.17635402,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2972_0,0.13414851,0.11637575,0.12597655,0.121603034,0.24081767,0.2574751,0.18914498,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2973_0,0.14286661,0.12786256,0.115076624,0.1174251,0.23637728,0.19560516,0.14321333,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2974_0,0.11522657,0.09488415,0.076716565,0.058815658,0.21670926,0.16228622,0.08337946,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2975_0,0.12467874,0.101803675,0.08969105,0.068348706,0.35267013,0.23603109,0.116898924,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2976_0,0.14573565,0.13626751,0.138927,0.1526444,0.21079376,0.24886338,0.1545508,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2977_0,0.14250958,0.12152811,0.10229102,0.09907472,0.2831853,0.16079566,0.09490748,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2978_0,0.13783106,0.1182479,0.11846046,0.109963275,0.29698256,0.22752243,0.13571633,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2979_0,0.13470459,0.11645428,0.1127919,0.078231126,0.2526674,0.14610282,0.0741747,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2980_0,0.12744194,0.10362699,0.09503191,0.06953973,0.29180095,0.16657518,0.082031,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2981_0,0.13094757,0.10863432,0.09600249,0.08814913,0.23424688,0.18996885,0.11721279,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2982_0,0.1321646,0.1115544,0.095723405,0.08881222,0.22398849,0.15928848,0.08690255,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2983_0,0.13968587,0.1280851,0.13294815,0.13386294,0.3002376,0.2836976,0.18741262,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2984_0,0.15256034,0.13898976,0.13973276,0.14282858,0.3303972,0.27537903,0.17809612,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2985_0,0.15040363,0.14282443,0.15555263,0.18165328,0.31853294,0.298185,0.18627562,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2986_0,0.1450631,0.123022735,0.10307003,0.08723363,0.27559334,0.14171694,0.08021944,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2987_0,0.1372978,0.112172335,0.095790565,0.09169346,0.26278114,0.17560706,0.10829445,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2988_0,0.12000258,0.099395625,0.08591473,0.06579156,0.31546816,0.17281502,0.07875937,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2989_0,0.1297233,0.10885687,0.09946449,0.08263613,0.29904944,0.22422466,0.12575734,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2990_0,0.13745378,0.122946665,0.111864716,0.12958151,0.21505293,0.21958792,0.13130134,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2991_0,0.1314216,0.11314352,0.10141765,0.08413183,0.25736552,0.1770163,0.09420279,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2992_0,0.14192015,0.12747861,0.12950861,0.14594129,0.2071473,0.2659411,0.18556964,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2993_0,0.1401426,0.118355274,0.10070543,0.09865679,0.26604962,0.2245619,0.1281486,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2994_0,0.13685371,0.11630035,0.09254135,0.08706908,0.17616528,0.18224384,0.122129306,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2995_0,0.1397547,0.11718166,0.111452565,0.10367883,0.26772243,0.1921064,0.1148459,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2996_0,0.15052025,0.14186102,0.15975536,0.18194868,0.23946474,0.29856554,0.22032228,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2997_0,0.12794545,0.10680821,0.09498472,0.07864295,0.2618944,0.19278726,0.09823333,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2998_0,0.16659114,0.15833311,0.16386439,0.17791693,0.2919925,0.38020346,0.28060874,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2999_0,0.1309613,0.10809705,0.09600202,0.06695053,0.34626293,0.1879943,0.09201361,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3000_0,0.16783565,0.1594703,0.17433494,0.2043089,0.34350866,0.3694111,0.2754991,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3001_0,0.1412433,0.12125422,0.1210192,0.12337572,0.27878368,0.25302163,0.17174312,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3002_0,0.1274296,0.10218655,0.09506029,0.06942481,0.2662098,0.16691229,0.08228801,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3003_0,0.14555854,0.11794449,0.101986535,0.109013416,0.23389511,0.22798051,0.157589,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3004_0,0.1338776,0.11474357,0.11448567,0.102834396,0.31478673,0.27008346,0.16403705,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3005_0,0.13280082,0.11413764,0.10454938,0.10056081,0.28504476,0.23595506,0.14788632,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3006_0,0.13429423,0.1167339,0.10318438,0.107932605,0.24469519,0.2109378,0.13283639,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3007_0,0.14618212,0.12592807,0.091735,0.085020244,0.25850114,0.17091563,0.10828552,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3008_0,0.13414182,0.10904527,0.099598885,0.06946042,0.193632,0.17005397,0.0827953,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3009_0,0.16784096,0.1630907,0.16909876,0.17571178,0.2976758,0.28368405,0.20747241,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3010_0,0.13732764,0.11437584,0.10500878,0.08609379,0.23806946,0.19356917,0.09950835,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3011_0,0.13180068,0.118693955,0.12441857,0.11184594,0.3940029,0.24520178,0.13067651,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3012_0,0.124912284,0.10294552,0.09046602,0.06673074,0.27892375,0.18189141,0.08503491,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3013_0,0.13338979,0.106857955,0.086337626,0.072914146,0.26809573,0.13400632,0.07644515,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
