system:index,B1,B2,B3,B4,B5,B6,B7,landuse,.geo
0_0,0.12619305,0.10570132,0.08349819,0.06973945,0.09831529,0.08710113,0.060326766,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.15723348,0.12801309,0.102984175,0.09485262,0.12189032,0.09643938,0.07292436,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.1825076,0.16425666,0.14955842,0.150246,0.19892085,0.17631277,0.13621074,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.156376,0.14161386,0.12482867,0.12338883,0.23927371,0.19608417,0.13759391,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.13484779,0.111010216,0.09858596,0.06607226,0.41621312,0.20443974,0.08308493,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.13858931,0.11822864,0.11297245,0.092235714,0.38214052,0.22425115,0.12808111,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.13415252,0.11358011,0.09194853,0.08457907,0.2993102,0.16980834,0.09131682,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.13085209,0.112571776,0.10402486,0.09768069,0.3119248,0.2227913,0.1140383,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.13026622,0.11026936,0.09979238,0.083023086,0.3149318,0.17335345,0.08574852,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.13328634,0.11400388,0.10192803,0.08157706,0.30731398,0.19675921,0.11271754,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.13700545,0.11913335,0.09369853,0.08286537,0.1789467,0.119811,0.075412124,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.13177231,0.11024404,0.09992736,0.08738284,0.31502032,0.15213504,0.08835416,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.13116118,0.10972992,0.09527774,0.08208474,0.26987523,0.17467882,0.090030015,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.1281623,0.10820105,0.092031315,0.077856615,0.35831457,0.16295663,0.070968725,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.13672699,0.11376308,0.09721364,0.075118616,0.3673497,0.16046134,0.08177868,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.1281414,0.11001791,0.097024545,0.093172126,0.34286729,0.18882935,0.09480768,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.12708926,0.102159336,0.08456901,0.053244755,0.50043285,0.16992587,0.068960756,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.12950791,0.11314012,0.092026874,0.079555176,0.28733864,0.1290277,0.06109119,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
